PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 131156 A_1,HD 131156 A,1.097,0.147,1.932,4.971,6.754,0.96,0.553,0.121,314.998,1.075,0.712,1,1,1,2035.001
HD 136352_0,HD 136352,1.127,0.083,0.501,0.05,14.739,1.02,1.029,0.069,14.61,1.206,0.639,0,0,1,2035.001
HD 136352_2,HD 136352,0.995,0.082,1.549,3.519,14.739,1.02,1.029,0.064,8.816,0.95,0.382,1,1,1,2035.001
HD 136352_3,HD 136352,3.774,0.069,2.041,4.78,14.739,1.02,1.029,0.257,82.424,3.849,0.406,0,0,1,2035.001
HD 136352_4,HD 136352,1.831,0.068,0.826,0.342,14.739,1.02,1.029,0.119,324.058,1.949,0.132,0,0,1,2035.001
HD 30495_0,HD 30495,1.934,0.08,0.989,1.288,13.24,1.04,0.966,0.081,14.364,2.088,0.876,1,1,1,2035.001
HD 30495_2,HD 30495,0.416,0.06,1.179,0.557,13.24,1.04,0.966,0.023,2.819,0.408,0.727,0,0,1,2035.001
HD 30495_3,HD 30495,1.848,0.089,0.623,0.48,13.24,1.04,0.966,0.068,302.174,1.736,0.872,0,0,1,2035.001
HD 190360_0,HD 190360,0.922,0.17,1.79,3.759,16.003,0.96,1.165,0.065,61.182,1.075,0.439,1,1,1,2035.001
HD 190360_1,HD 190360,3.764,0.081,1.071,1.582,16.003,0.96,1.165,0.224,316.179,3.596,0.279,0,0,1,2035.001
HD 190360_3,HD 190360,3.632,0.139,2.733,10.267,16.003,0.96,1.165,0.146,83.62,3.927,0.026,0,0,1,2035.001
HD 190360_4,HD 190360,1.735,0.021,0.534,0.045,16.003,0.96,1.165,0.11,324.521,1.766,0.316,0,0,1,2035.001
HD 190360_5,HD 190360,0.581,0.08,1.934,2.88,16.003,0.96,1.165,0.038,62.219,0.613,0.351,0,0,1,2035.001
HD 201091_1,HD 201091,1.051,0.108,0.699,0.293,3.497,0.68,0.142,0.327,60.208,1.152,0.265,0,0,1,2035.001
HD 201091_2,HD 201091,2.964,0.153,0.94,0.359,3.497,0.68,0.142,0.27,95.609,2.624,0.005,0,0,1,2035.001
HD 201091_4,HD 201091,2.241,0.067,3.013,8.159,3.497,0.68,0.142,0.29,76.208,2.38,0.009,0,0,1,2035.001
HD 147513_0,HD 147513,1.541,0.04,0.645,0.152,12.892,1.07,1.001,0.124,200.906,1.593,0.32,0,0,1,2035.001
HD 147513_1,HD 147513,1.513,0.099,0.537,0.038,12.892,1.07,1.001,0.12,340.382,1.625,0.48,0,0,1,2035.001
HD 147513_2,HD 147513,4.633,0.075,1.379,7.403,12.892,1.07,1.001,0.335,220.942,4.34,0.373,0,0,1,2035.001
HD 147513_4,HD 147513,0.196,0.111,0.74,0.096,12.892,1.07,1.001,0.006,258.2,0.193,0.007,0,0,1,2035.001
HD 147513_5,HD 147513,4.52,0.075,0.624,0.254,12.892,1.07,1.001,0.339,67.713,4.68,0.517,0,0,1,2035.001
HD 147513_6,HD 147513,1.743,0.075,1.796,2.912,12.892,1.07,1.001,0.095,174.427,1.619,0.716,1,1,1,2035.001
HD 147513_7,HD 147513,2.47,0.028,0.667,0.174,12.892,1.07,1.001,0.186,325.929,2.41,0.376,0,0,1,2035.001
HD 10700_0,HD 10700,1.625,0.099,0.563,0.087,3.652,0.94,0.506,0.43,23.148,1.659,0.497,0,0,1,2035.001
HD 146233_0,HD 146233,0.356,0.047,2.679,8.19,14.137,1.02,1.094,0.012,97.415,0.36,0.011,0,0,1,2035.001
HD 146233_1,HD 146233,0.206,0.044,2.032,3.376,14.137,1.02,1.094,0.012,330.47,0.214,0.079,0,0,1,2035.001
HD 146233_4,HD 146233,0.539,0.141,1.433,3.682,14.137,1.02,1.094,0.012,239.73,0.466,0.006,0,0,1,2035.001
HD 20794_0,HD 20794,4.322,0.17,2.962,5.742,6.041,0.97,0.654,0.413,142.635,4.585,0.02,0,0,1,2035.001
HD 20794_1,HD 20794,2.398,0.095,1.302,2.525,6.041,0.97,0.654,0.205,325.514,2.24,0.021,0,0,1,2035.001
HD 155886_1,HD 155886,0.511,0.064,0.698,0.549,5.952,0.85,0.327,0.086,80.322,0.539,0.181,1,1,1,2035.001
HD 155886_2,HD 155886,0.232,0.069,1.589,4.704,5.952,0.85,0.327,0.031,179.345,0.245,0.725,0,0,1,2035.001
HD 155886_3,HD 155886,1.253,0.044,2.915,7.774,5.952,0.85,0.327,0.21,182.867,1.25,0.314,1,1,1,2035.001
HD 155886_4,HD 155886,0.305,0.028,0.94,0.937,5.952,0.85,0.327,0.048,164.583,0.297,0.211,0,0,1,2035.001
