PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 50692_2,HD 50692,0.513,0.081,1.798,4.058,17.405,1.08,1.293,0.024,137.242,0.542,0.71,0,0,1,2035.055
HD 50692_3,HD 50692,0.925,0.032,2.849,17.557,17.405,1.08,1.293,0.052,72.943,0.903,0.283,0,0,1,2035.055
HD 20630_1,HD 20630,0.648,0.142,1.547,5.088,9.276,0.98,0.857,0.067,189.12,0.629,0.259,1,1,1,2035.056
HD 20630_5,HD 20630,1.387,0.083,0.621,0.099,9.276,0.98,0.857,0.133,234.163,1.272,0.211,0,0,1,2035.056
HD 115617_0,HD 115617,1.956,0.004,0.732,0.237,8.534,0.97,0.825,0.228,205.121,1.962,0.261,0,0,1,2035.058
HD 115617_1,HD 115617,0.76,0.09,2.931,11.127,8.534,0.97,0.825,0.062,106.821,0.748,0.754,1,1,1,2035.058
HD 115617_2,HD 115617,0.621,0.047,0.562,0.038,8.534,0.97,0.825,0.07,64.936,0.636,0.167,0,0,1,2035.058
HD 115617_3,HD 115617,0.199,0.073,3.38,9.207,8.534,0.97,0.825,0.016,243.232,0.185,0.054,0,0,1,2035.058
HD 115617_4,HD 115617,2.599,0.104,0.763,0.148,8.534,0.97,0.825,0.291,112.544,2.785,0.576,0,0,1,2035.058
HD 115617_5,HD 115617,2.098,0.045,1.487,2.107,8.534,0.97,0.825,0.175,298.068,2.021,0.73,1,1,1,2035.058
HD 115617_6,HD 115617,3.003,0.084,0.942,1.034,8.534,0.97,0.825,0.167,173.498,3.068,0.012,0,0,1,2035.058
HD 217987_0,HD 217987,3.278,0.032,3.1,11.412,3.287,0.49,0.036,0.956,163.53,3.26,0.197,1,2,2,2035.059
HD 217987_1,HD 217987,0.104,0.158,2.049,5.502,3.287,0.49,0.036,0.036,358.666,0.12,0.345,0,0,2,2035.059
HD 20807_0,HD 20807,0.337,0.072,1.793,5.585,12.039,1.07,1.017,0.028,197.806,0.351,0.491,0,0,1,2035.06
HD 20807_1,HD 20807,1.546,0.069,0.954,0.674,12.039,1.07,1.017,0.094,124.816,1.637,0.764,1,1,1,2035.06
HD 20807_2,HD 20807,2.979,0.055,2.038,5.953,12.039,1.07,1.017,0.192,98.73,3.009,0.066,0,0,1,2035.06
HD 10476_0,HD 10476,0.171,0.07,0.738,0.586,7.644,0.85,0.454,0.014,198.985,0.172,0.035,0,0,1,2035.062
HD 202560_0,HD 202560,0.846,0.075,1.59,3.098,3.97,0.59,0.083,0.147,248.282,0.83,0.758,1,1,1,2035.063
HD 202560_1,HD 202560,0.552,0.052,0.674,0.277,3.97,0.59,0.083,0.133,315.527,0.534,0.25,1,1,1,2035.063
HD 202560_3,HD 202560,0.867,0.117,1.589,3.993,3.97,0.59,0.083,0.234,269.069,0.942,0.412,1,1,1,2035.063
HD 202560_4,HD 202560,2.302,0.14,0.558,0.242,3.97,0.59,0.083,0.504,254.089,2.279,0.117,0,0,1,2035.063
HD 202560_5,HD 202560,3.244,0.082,0.847,0.597,3.97,0.59,0.083,0.698,207.773,3.459,0.078,0,0,1,2035.063
HD 202560_6,HD 202560,0.414,0.085,0.785,0.52,3.97,0.59,0.083,0.106,5.973,0.435,0.455,1,1,1,2035.063
HD 209100_0,HD 209100,2.433,0.127,0.524,0.125,3.638,0.72,0.222,0.373,181.82,2.218,0.82,0,0,1,2035.064
HD 209100_1,HD 209100,1.218,0.094,0.54,0.063,3.638,0.72,0.222,0.199,309.701,1.179,0.819,0,0,1,2035.064
HD 209100_2,HD 209100,0.989,0.073,1.925,3.381,3.638,0.72,0.222,0.291,157.17,1.06,0.302,1,1,1,2035.064
HD 209100_4,HD 209100,3.542,0.022,2.632,10.115,3.638,0.72,0.222,0.911,54.323,3.499,0.495,1,1,1,2035.064
HD 209100_5,HD 209100,0.635,0.076,0.931,1.048,3.638,0.72,0.222,0.155,15.533,0.665,0.632,1,1,1,2035.064
HD 209100_6,HD 209100,1.701,0.082,0.885,0.188,3.638,0.72,0.222,0.257,66.032,1.735,0.019,0,0,1,2035.064
HD 209100_8,HD 209100,2.097,0.099,2.488,9.665,3.638,0.72,0.222,0.423,51.625,1.896,0.667,1,1,1,2035.064
HD 209100_9,HD 209100,0.782,0.071,2.297,4.804,3.638,0.72,0.222,0.222,124.529,0.816,0.395,1,1,1,2035.064
HD 209100_10,HD 209100,0.182,0.056,2.026,4.669,3.638,0.72,0.222,0.052,157.849,0.189,0.386,0,0,1,2035.064
