PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 190248_2,HD 190248,3.754,0.072,1.017,1.24,6.099,0.94,1.25,,,3.993856,0.106884,5.329515735208047e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.065753
HD 190248_3,HD 190248,1.406,0.139,0.51,0.568,6.099,0.94,1.25,,,1.574129,0.001559,1.1008613579076717e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.065753
HD 34411_0,HD 34411,0.295,0.082,3.192,8.429,12.562,1.08,1.732,,,0.286191,0.213886,2.2631870809567676e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.068493
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.100676,107.419664,1.497445,0.609817,1.3731284793222455e-10,1522.1269003890259,0.4228130278858405,0.1356044251623969,0.43432842686166245,0.000919155747446709,1,1,1,1,1,1,1,2035.068493
HD 34411_3,HD 34411,1.691,0.074,0.798,0.808,12.562,1.08,1.732,0.122063,109.550467,1.576445,0.480917,1.0347876755811755e-10,2215.1213997402233,0.6153114999278398,0.10715582319424412,0.41063904855288647,0.0007612265587215358,1,1,1,1,1,1,1,2035.068493
HD 203608_0,HD 203608,2.203,0.092,1.79,3.488,9.258,1.14,1.466,0.195915,47.649507,2.011691,0.552258,3.584396724423453e-10,143.0502131166645,0.03973617031018459,0.6064554566772359,0.4670774836506838,0.001137482792706851,1,1,1,1,1,1,1,2035.071233
HD 203608_1,HD 203608,2.342,0.1,0.502,0.104,9.258,1.14,1.466,,,2.517583,0.954253,3.08959711517337e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.071233
HD 203608_2,HD 203608,2.74,0.062,1.086,1.189,9.258,1.14,1.466,0.156418,129.857374,2.851379,0.877581,1.0874520265807407e-10,965.8982627545537,0.26830507298737605,0.1815771284669027,0.46708949560805063,0.0011375628724226302,1,1,1,1,1,1,1,2035.071233
HD 203608_5,HD 203608,4.293,0.038,0.929,0.698,9.258,1.14,1.466,,,4.360766,0.099818,4.058770603139827e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.071233
HD 203608_6,HD 203608,0.526,0.072,0.985,0.486,9.258,1.14,1.466,,,0.491016,0.645917,1.362407961004928e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.071233
HD 160691_0,HD 160691,1.46,0.051,0.67,0.675,15.604,1.0,1.899,,,1.525619,0.282517,2.687959141208628e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.073973
HD 160691_1,HD 160691,0.274,0.085,0.88,0.645,15.604,1.0,1.899,,,0.251361,0.574968,5.2018902229036805e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.073973
HD 160691_2,HD 160691,0.346,0.144,0.58,0.053,15.604,1.0,1.899,,,0.32733,0.49345,1.1070679705292341e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.073973
HD 160691_3,HD 160691,0.123,0.058,0.556,0.091,15.604,1.0,1.899,,,0.129721,0.896455,1.0423980629073503e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.073973
