PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 192310_2,HD 192310,0.631,0.109,2.544,15.688,8.812,0.77,0.404,0.078,247.905,0.691,0.384,3.4000366250505696e-09,71.76199777392658,0.01993388827053516,1.0748400923367374,0.6107256909794755,0.009428118787044582,1,1,1,1,1,2035.036
HD 192310_3,HD 192310,0.091,0.084,2.458,5.736,8.812,0.77,0.404,0.006,11.36,0.085,0.039,1.489088727093214e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.036
HD 131156 A_0,HD 131156 A,0.922,0.01,2.426,4.769,6.754,0.96,0.553,0.137,120.7,0.924,0.326,1.4931937373247593e-09,32.70007626944244,0.009083354519289566,1.8450205321472593,0.4262055299718596,0.0038925139568161044,1,1,1,1,1,2035.037
HD 131156 A_1,HD 131156 A,1.097,0.147,1.932,5.127,6.754,0.96,0.553,0.11,326.695,1.107,0.782,3.9119237220329677e-10,223.393687465362,0.06205380207371167,0.4602641975263338,0.4974202740362495,0.006028956278747801,1,1,1,1,1,2035.037
HD 136352_0,HD 136352,1.127,0.083,0.501,0.209,14.739,1.02,1.029,0.072,24.875,1.214,0.593,6.126464292843001e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.038
HD 136352_2,HD 136352,0.995,0.082,1.549,3.648,14.739,1.02,1.029,0.059,10.384,0.935,0.531,5.293439728898602e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.038
HD 136352_3,HD 136352,3.774,0.069,2.041,9.243,14.739,1.02,1.029,0.256,84.096,3.841,0.413,3.368711792527026e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.038
HD 136352_4,HD 136352,1.831,0.068,0.826,0.215,14.739,1.02,1.029,0.121,329.063,1.945,0.142,1.2436510158483477e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.038
HD 30495_0,HD 30495,1.934,0.08,0.989,0.82,13.24,1.04,0.966,0.083,22.976,2.089,0.868,1.0567628072372953e-10,-12549.523118862471,-3.485978644128464,0.044358606510389795,0.6177683036632416,0.009639397167557566,1,1,1,1,1,2035.04
HD 30495_2,HD 30495,0.416,0.06,1.179,2.252,13.24,1.04,0.966,0.006,145.446,0.392,0.977,3.733122755294664e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.04
HD 30495_3,HD 30495,1.848,0.089,0.623,0.444,13.24,1.04,0.966,0.073,313.342,1.749,0.854,4.790423494946164e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.04
HD 190360_0,HD 190360,0.922,0.17,1.79,3.175,16.003,0.96,1.165,0.061,65.578,1.063,0.549,7.239288006016976e-10,2587.029429322085,0.7186192859228013,0.15629663763342733,0.7185756905907978,0.012663618775384251,1,1,1,1,1,2035.041
HD 190360_1,HD 190360,3.764,0.081,1.071,1.164,16.003,0.96,1.165,0.224,318.213,3.605,0.273,1.3956794287017958e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.041
HD 190360_3,HD 190360,3.632,0.139,2.733,5.998,16.003,0.96,1.165,0.152,83.7,3.94,0.03,3.5982375220858056e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.041
HD 190360_4,HD 190360,1.735,0.021,0.534,0.447,16.003,0.96,1.165,0.11,329.868,1.768,0.292,1.4047569806288468e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.041
